"","person","block","visualise","trialNumber","nTrials","responseTimeMean","responseTimeMedian","stddev","stderr","lower","upper"
"27","27"," coloured","no","1",59,730.725830508475,664.941,0.307478838557545,0.0400303351414553,Inf,Inf
"28","28"," coloured","no","1",57,481.930877192982,474.594,0.16168418664429,0.0214155936836106,1.91289575036453e+209,2.08041484980256e+209
"29","29"," coloured","no","1",55,508.456436363636,492.827,0.271259196945419,0.0365765826544982,6.14737894360939e+220,7.09511136638618e+220
"30","30"," coloured","no","1",59,512.654915254237,473.226,0.25678764402728,0.033430903729243,4.11854538138642e+222,4.69523977135984e+222
"31","1"," coloured","yes","3",59,632.131152542373,592.186,0.27100124261608,0.0352813566506375,3.16985423115516e+274,3.64001761542557e+274
"32","2"," coloured","yes","3",50,704.04174,660.7585,0.335049185328126,0.0473831101953092,5.2614978092933e+305,6.33542901455465e+305
"33","3"," coloured","yes","3",57,686.453315789474,644.077,0.260982881930795,0.0345680271757424,1.24011577721927e+298,1.42007744734901e+298
"34","4"," coloured","yes","3",42,1078.48380952381,993.808,0.317351161523038,0.0489683473373656,Inf,Inf
"35","5"," coloured","yes","3",56,618.099517857143,562.2775,0.301846714806039,0.0403359639331237,2.52857131454581e+268,2.96172368258342e+268
"36","6"," coloured","yes","3",60,546.120983333333,515.845,0.222908786129346,0.0287774005467423,1.4217842382396e+237,1.59156848543114e+237
"37","7"," coloured","yes","3",59,729.295050847458,669.067,0.302675011294549,0.039404930101546,Inf,Inf
"38","8"," coloured","yes","3",56,464.624053571429,458.846,0.130613122061259,0.0174539126060755,5.87226377384661e+201,6.28810371013703e+201
"39","9"," coloured","yes","3",58,429.425431034483,410.426,0.151564048821463,0.0199013346005232,3.02102785184125e+186,3.26614487924681e+186
"40","10"," coloured","yes","3",56,767.098785714286,712.393,0.290217337347231,0.038781923001969,Inf,Inf
"41","11"," coloured","yes","3",58,685.289810344828,614.9645,0.264901954823527,0.0347833307454447,3.87235325062168e+297,4.43804096002983e+297
"42","12"," coloured","yes","3",47,758.446340425532,705.099,0.307126064584424,0.0447989407993889,Inf,Inf
"43","13"," coloured","yes","3",59,782.488813559322,737.509,0.237932146912326,0.0309761270938451,Inf,Inf
"44","14"," coloured","yes","3",58,641.314913793103,594.311,0.276859671094579,0.0363534558141452,3.08023276555774e+278,3.55199960581506e+278
"45","15"," coloured","yes","3",54,675.759333333333,591.14,0.353780687231121,0.0481434535870786,2.7388549101559e+293,3.30773033604105e+293
"46","16"," coloured","yes","3",58,671.521568965517,656.5215,0.282934921640106,0.0371511752920074,4.04099359332762e+291,4.67450468699749e+291
"47","17"," coloured","yes","3",54,592.305833333333,479.909,0.416450561405772,0.0566717432522074,1.53785381390487e+257,1.92041450476543e+257
"48","18"," coloured","yes","3",53,444.30841509434,428.504,0.252378177824942,0.0346668088343766,8.53461540382181e+192,9.7769168594314e+192
"49","19"," coloured","yes","3",56,476.542821428571,455.5605,0.208687901841945,0.0278870939091881,8.63335826383379e+206,9.63065245508323e+206
"50","20"," coloured","yes","3",55,953.2878,883.979,0.264933405676786,0.0357236131338415,Inf,Inf
"51","21"," coloured","yes","3",59,903.392186440678,870.347,0.213852045118744,0.0278411648650312,Inf,Inf
"52","22"," coloured","yes","3",54,637.329907407407,599.242,0.238749934859884,0.032489750918302,5.77040246421269e+276,6.55417107850332e+276
"53","23"," coloured","yes","3",55,657.640436363636,554.56,0.387633885174906,0.0522685424142028,3.67384397003421e+285,4.50925162737525e+285
"54","24"," coloured","yes","3",56,521.704678571429,479.363,0.273999234014578,0.0366146877828946,3.48574838828285e+226,4.02374211022979e+226
"55","25"," coloured","yes","3",59,553.324983050847,524.499,0.238919777449956,0.0311047056379906,1.90331196706369e+240,2.15012494698344e+240
"56","26"," coloured","yes","3",59,450.888033898305,440.244,0.153122370172959,0.0199348346196202,6.32726762793418e+195,6.84154128503921e+195
"57","27"," coloured","yes","3",58,787.301706896552,704.8885,0.311323220114839,0.0408787414996817,Inf,Inf
"58","28"," coloured","yes","3",60,456.35245,435.1885,0.193998387210713,0.025045084095273,1.47921748611325e+198,1.63181020203423e+198
"59","29"," coloured","yes","3",55,542.165236363636,469.248,0.308093382721626,0.0415433032513511,2.65465482191342e+235,3.12415668012275e+235
"60","30"," coloured","yes","3",60,457.2385,435.54,0.173083696057801,0.0223450090777297,3.6069241364447e+198,3.93711335971118e+198
